Stock Symbol,Stock URL
HDFCBANK,https://www.screener.in/company/HDFCBANK/consolidated/
ICICIBANK,https://www.screener.in/company/ICICIBANK/consolidated/
KOTAKBANK,https://www.screener.in/company/KOTAKBANK/consolidated/
AXISBANK,https://www.screener.in/company/AXISBANK/consolidated/
INDUSINDBK,https://www.screener.in/company/INDUSINDBK/
SBIN,https://www.screener.in/company/SBIN/consolidated/
BANKBARODA,https://www.screener.in/company/BANKBARODA/consolidated/
PNB,https://www.screener.in/company/PNB/consolidated/
