Return on Equity,Stockname,Return on Equity.1
Last Year,GREENLAM,13%
10 Years,GREENPANEL,%
5 Years,GREENPANEL,16%
3 Years,GREENPANEL,20%
Last Year,GREENPANEL,11%
10 Years,GRSE,13%
5 Years,GRSE,17%
3 Years,GRSE,19%
Last Year,GRSE,23%
10 Years,HAL,%
5 Years,HAL,27%
3 Years,HAL,28%
Last Year,HAL,29%
10 Years,HAPPSTMNDS,%
5 Years,HAPPSTMNDS,30%
3 Years,HAPPSTMNDS,26%
Last Year,HAPPSTMNDS,21%
10 Years,HAVELLS,19%
5 Years,HAVELLS,19%
3 Years,HAVELLS,19%
Last Year,HAVELLS,18%
10 Years,HCLTECH,24%
5 Years,HCLTECH,22%
3 Years,HCLTECH,23%
Last Year,HCLTECH,23%
10 Years,HDFCAMC,%
5 Years,HDFCAMC,%
3 Years,HDFCAMC,%
Last Year,HDFCAMC,29%
10 Years,HDFCBANK,17%
5 Years,HDFCBANK,17%
3 Years,HDFCBANK,17%
Last Year,HDFCBANK,17%
10 Years,HDFCLIFE,16%
5 Years,HDFCLIFE,13%
3 Years,HDFCLIFE,11%
Last Year,HDFCLIFE,11%
10 Years,HERITGFOOD,14%
5 Years,HERITGFOOD,8%
3 Years,HERITGFOOD,12%
Last Year,HERITGFOOD,13%
10 Years,HEROMOTOCO,24%
5 Years,HEROMOTOCO,19%
3 Years,HEROMOTOCO,18%
Last Year,HEROMOTOCO,22%
10 Years,HINDUNILVR,32%
5 Years,HINDUNILVR,24%
3 Years,HINDUNILVR,20%
Last Year,HINDUNILVR,20%
10 Years,HLEGLAS,%
5 Years,HLEGLAS,26%
3 Years,HLEGLAS,20%
Last Year,HLEGLAS,9%
10 Years,HNDFDS,%
5 Years,HNDFDS,18%
3 Years,HNDFDS,19%
Last Year,HNDFDS,18%
10 Years,ICICIBANK,13%
5 Years,ICICIBANK,15%
3 Years,ICICIBANK,17%
Last Year,ICICIBANK,19%
10 Years,ICICIGI,18%
5 Years,ICICIGI,18%
3 Years,ICICIGI,17%
Last Year,ICICIGI,17%
10 Years,ICICIPRULI,16%
5 Years,ICICIPRULI,10%
3 Years,ICICIPRULI,8%
Last Year,ICICIPRULI,8%
10 Years,IDEAFORGE,%
5 Years,IDEAFORGE,%
3 Years,IDEAFORGE,14%
Last Year,IDEAFORGE,9%
10 Years,IDFCFIRSTB,%
5 Years,IDFCFIRSTB,3%
3 Years,IDFCFIRSTB,8%
Last Year,IDFCFIRSTB,10%
10 Years,INDIGO,%
5 Years,INDIGO,%
3 Years,INDIGO,%
Last Year,INDIGO,%
10 Years,INDIGOPNTS,%
5 Years,INDIGOPNTS,%
3 Years,INDIGOPNTS,%
Last Year,INDIGOPNTS,17%
10 Years,INFY,27%
5 Years,INFY,29%
3 Years,INFY,31%
Last Year,INFY,32%
10 Years,IRCON,13%
5 Years,IRCON,13%
3 Years,IRCON,15%
Last Year,IRCON,17%
10 Years,IRCTC,%
5 Years,IRCTC,%
3 Years,IRCTC,%
Last Year,IRCTC,40%
10 Years,IREDA,%
5 Years,IREDA,15%
3 Years,IREDA,16%
Last Year,IREDA,17%
10 Years,ITC,25%
5 Years,ITC,26%
3 Years,ITC,28%
Last Year,ITC,28%
10 Years,JIOFIN,%
5 Years,JIOFIN,%
3 Years,JIOFIN,%
Last Year,JIOFIN,1%
10 Years,JUBLFOOD,19%
5 Years,JUBLFOOD,19%
3 Years,JUBLFOOD,18%
Last Year,JUBLFOOD,12%
10 Years,KALYANKJIL,%
5 Years,KALYANKJIL,10%
3 Years,KALYANKJIL,12%
Last Year,KALYANKJIL,15%
10 Years,KAYNES,%
5 Years,KAYNES,%
3 Years,KAYNES,13%
Last Year,KAYNES,11%
10 Years,KEI,%
5 Years,KEI,20%
3 Years,KEI,20%
Last Year,KEI,20%
10 Years,KOTAKBANK,14%
5 Years,KOTAKBANK,14%
3 Years,KOTAKBANK,14%
Last Year,KOTAKBANK,15%
10 Years,KPIGREEN,%
5 Years,KPIGREEN,31%
3 Years,KPIGREEN,35%
Last Year,KPIGREEN,30%
10 Years,KPITTECH,%
5 Years,KPITTECH,23%
3 Years,KPITTECH,27%
Last Year,KPITTECH,31%
10 Years,KSCL,21%
5 Years,KSCL,20%
3 Years,KSCL,18%
Last Year,KSCL,23%
10 Years,LALPATHLAB,23%
5 Years,LALPATHLAB,21%
3 Years,LALPATHLAB,20%
Last Year,LALPATHLAB,20%
10 Years,LATENTVIEW,%
5 Years,LATENTVIEW,15%
3 Years,LATENTVIEW,13%
Last Year,LATENTVIEW,12%
10 Years,LT,14%
5 Years,LT,14%
3 Years,LT,12%
Last Year,LT,15%
10 Years,LTIM,31%
5 Years,LTIM,29%
3 Years,LTIM,29%
Last Year,LTIM,25%
10 Years,LTTS,%
5 Years,LTTS,26%
3 Years,LTTS,26%
Last Year,LTTS,26%
10 Years,LXCHEM,%
5 Years,LXCHEM,13%
3 Years,LXCHEM,12%
Last Year,LXCHEM,7%
10 Years,M&M,13%
5 Years,M&M,12%
3 Years,M&M,17%
Last Year,M&M,18%
10 Years,MANKIND,%
5 Years,MANKIND,%
3 Years,MANKIND,21%
Last Year,MANKIND,22%
10 Years,MAPMYINDIA,%
5 Years,MAPMYINDIA,20%
3 Years,MAPMYINDIA,20%
Last Year,MAPMYINDIA,21%
10 Years,MARICO,37%
5 Years,MARICO,37%
3 Years,MARICO,37%
Last Year,MARICO,39%
10 Years,MARUTI,13%
5 Years,MARUTI,11%
3 Years,MARUTI,12%
Last Year,MARUTI,17%
10 Years,MAZDOCK,%
5 Years,MAZDOCK,24%
3 Years,MAZDOCK,27%
Last Year,MAZDOCK,35%
10 Years,METROBRAND,22%
5 Years,METROBRAND,22%
3 Years,METROBRAND,24%
Last Year,METROBRAND,25%
10 Years,MOLDTECH,23%
5 Years,MOLDTECH,24%
3 Years,MOLDTECH,26%
Last Year,MOLDTECH,25%
10 Years,MOLDTKPAC,17%
5 Years,MOLDTKPAC,16%
3 Years,MOLDTKPAC,15%
Last Year,MOLDTKPAC,12%
10 Years,MOTHERSON,12%
5 Years,MOTHERSON,9%
3 Years,MOTHERSON,9%
Last Year,MOTHERSON,12%
10 Years,MTARTECH,%
5 Years,MTARTECH,%
3 Years,MTARTECH,13%
Last Year,MTARTECH,9%
10 Years,MUFTI,%
5 Years,MUFTI,%
3 Years,MUFTI,22%
Last Year,MUFTI,19%
10 Years,MUTHOOTFIN,%
5 Years,MUTHOOTFIN,22%
3 Years,MUTHOOTFIN,20%
Last Year,MUTHOOTFIN,18%
10 Years,NAUKRI,5%
5 Years,NAUKRI,5%
3 Years,NAUKRI,6%
Last Year,NAUKRI,2%
10 Years,NAVINFLUOR,17%
5 Years,NAVINFLUOR,17%
3 Years,NAVINFLUOR,14%
Last Year,NAVINFLUOR,10%
10 Years,NAZARA,%
5 Years,NAZARA,3%
3 Years,NAZARA,4%
Last Year,NAZARA,4%
10 Years,NEOGEN,13%
5 Years,NEOGEN,11%
3 Years,NEOGEN,9%
Last Year,NEOGEN,6%
10 Years,NESTLEIND,68%
5 Years,NESTLEIND,107%
3 Years,NESTLEIND,121%
Last Year,NESTLEIND,135%
10 Years,NETWEB,%
5 Years,NETWEB,40%
3 Years,NETWEB,40%
Last Year,NETWEB,29%
10 Years,PAGEIND,46%
5 Years,PAGEIND,44%
