Stock Price CAGR,Stockname,Stock Price CAGR.1
3 Years,GREENLAM,30%
1 Year,GREENLAM,29%
10 Years,GREENPANEL,%
5 Years,GREENPANEL,%
3 Years,GREENPANEL,12%
1 Year,GREENPANEL,6%
10 Years,GRSE,%
5 Years,GRSE,72%
3 Years,GRSE,118%
1 Year,GRSE,163%
10 Years,HAL,%
5 Years,HAL,71%
3 Years,HAL,104%
1 Year,HAL,152%
10 Years,HAPPSTMNDS,%
5 Years,HAPPSTMNDS,%
3 Years,HAPPSTMNDS,-19%
1 Year,HAPPSTMNDS,-14%
10 Years,HAVELLS,22%
5 Years,HAVELLS,23%
3 Years,HAVELLS,15%
1 Year,HAVELLS,46%
10 Years,HCLTECH,16%
5 Years,HCLTECH,26%
3 Years,HCLTECH,14%
1 Year,HCLTECH,42%
10 Years,HDFCAMC,%
5 Years,HDFCAMC,13%
3 Years,HDFCAMC,12%
1 Year,HDFCAMC,69%
10 Years,HDFCBANK,15%
5 Years,HDFCBANK,8%
3 Years,HDFCBANK,3%
1 Year,HDFCBANK,3%
10 Years,HDFCLIFE,%
5 Years,HDFCLIFE,6%
3 Years,HDFCLIFE,1%
1 Year,HDFCLIFE,10%
10 Years,HERITGFOOD,22%
5 Years,HERITGFOOD,26%
3 Years,HERITGFOOD,32%
1 Year,HERITGFOOD,116%
10 Years,HEROMOTOCO,7%
5 Years,HEROMOTOCO,14%
3 Years,HEROMOTOCO,23%
1 Year,HEROMOTOCO,75%
10 Years,HINDUNILVR,14%
5 Years,HINDUNILVR,9%
3 Years,HINDUNILVR,3%
1 Year,HINDUNILVR,8%
10 Years,HLEGLAS,42%
5 Years,HLEGLAS,63%
3 Years,HLEGLAS,-16%
1 Year,HLEGLAS,-29%
10 Years,HNDFDS,55%
5 Years,HNDFDS,47%
3 Years,HNDFDS,17%
1 Year,HNDFDS,6%
10 Years,ICICIBANK,16%
5 Years,ICICIBANK,23%
3 Years,ICICIBANK,20%
1 Year,ICICIBANK,25%
10 Years,ICICIGI,%
5 Years,ICICIGI,12%
3 Years,ICICIGI,11%
1 Year,ICICIGI,53%
10 Years,ICICIPRULI,%
5 Years,ICICIPRULI,13%
3 Years,ICICIPRULI,2%
1 Year,ICICIPRULI,34%
10 Years,IDEAFORGE,%
5 Years,IDEAFORGE,%
3 Years,IDEAFORGE,%
1 Year,IDEAFORGE,-33%
10 Years,IDFCFIRSTB,%
5 Years,IDFCFIRSTB,10%
3 Years,IDFCFIRSTB,17%
1 Year,IDFCFIRSTB,-19%
10 Years,INDIGO,%
5 Years,INDIGO,21%
3 Years,INDIGO,36%
1 Year,INDIGO,74%
10 Years,INDIGOPNTS,%
5 Years,INDIGOPNTS,%
3 Years,INDIGOPNTS,-16%
1 Year,INDIGOPNTS,-4%
10 Years,INFY,15%
5 Years,INFY,19%
3 Years,INFY,2%
1 Year,INFY,34%
10 Years,IRCON,%
5 Years,IRCON,50%
3 Years,IRCON,85%
1 Year,IRCON,166%
10 Years,IRCTC,%
5 Years,IRCTC,%
3 Years,IRCTC,19%
1 Year,IRCTC,44%
10 Years,IREDA,%
5 Years,IREDA,%
3 Years,IREDA,%
1 Year,IREDA,%
10 Years,ITC,8%
5 Years,ITC,15%
3 Years,ITC,34%
1 Year,ITC,14%
10 Years,JIOFIN,%
5 Years,JIOFIN,%
3 Years,JIOFIN,%
1 Year,JIOFIN,%
10 Years,JUBLFOOD,18%
5 Years,JUBLFOOD,23%
3 Years,JUBLFOOD,-7%
1 Year,JUBLFOOD,34%
10 Years,KALYANKJIL,%
5 Years,KALYANKJIL,%
