Stockname,Market Cap in Cores Rupees,Current Price in Rupees,High in Rupees,Low in Rupees,Stock PE,Book Value in Rupees,Dividend Yield %,ROCE %,ROE %,Face Value in Rupees
MUTHOOTFIN,73626,1834.0,1905,1170.0,16.5,629.0,1.31,13.3,18.5,10.0
NAUKRI,95975,7418.0,7440,3972.0,149.0,2339.0,0.3,3.65,2.44,10.0
NAVINFLUOR,16488,3325.0,4725,2876.0,75.5,481.0,0.36,10.4,10.1,2.0
NAZARA,7216,943.0,1035,591.0,86.4,261.0,0.0,5.93,4.36,4.0
NEOGEN,4194,1590.0,1859,1149.0,112.0,288.0,0.13,9.38,5.74,10.0
NESTLEIND,243493,2525.0,2771,2163.0,75.2,34.6,0.61,169.0,135.0,1.0
NETWEB,13021,2310.0,2773,739.0,151.0,75.0,0.09,38.4,29.3,2.0
PAGEIND,45656,40948.0,42922,33070.0,79.3,1432.0,0.9,45.0,38.4,10.0
PARAS,4713,1208.0,1593,609.0,123.0,114.0,0.0,9.8,7.0,10.0
PERSISTENT,74824,4857.0,4965,2402.0,63.9,322.0,0.54,29.2,24.0,5.0
PIDILITIND,155500,3057.0,3279,2293.0,82.8,165.0,0.52,29.7,22.8,1.0
PIIND,67310,4436.0,4600,3060.0,38.5,575.0,0.34,24.0,21.1,1.0
POLYCAB,100365,6674.0,7331,3801.0,56.4,545.0,0.45,31.3,23.2,10.0
PRINCEPIPE,6624,599.0,776,505.0,38.1,140.0,0.17,14.7,11.4,10.0
RAILTEL,15257,475.0,618,165.0,57.1,56.9,0.6,20.2,15.2,10.0
RAYMOND,12315,1850.0,2381,919.0,22.5,693.0,0.54,30.9,44.5,10.0
REDTAPE,8986,650.0,810,411.0,56.1,46.9,0.0,31.9,31.3,2.0
RELAXO,19367,778.0,959,758.0,103.0,80.4,0.39,13.9,10.5,1.0
RELIANCE,2000245,2956.0,3218,2220.0,29.1,1173.0,0.34,9.61,9.25,10.0
ROSSARI,5031,911.0,953,657.0,36.9,190.0,0.05,18.1,13.2,2.0
ROUTE,9619,1532.0,1942,1386.0,27.7,342.0,0.72,20.7,18.2,10.0
RVNL,118982,571.0,647,123.0,81.8,42.0,0.37,18.4,19.6,10.0
SBICARD,66447,699.0,858,648.0,27.6,127.0,0.36,12.5,22.0,10.0
SBIN,724768,812.0,912,543.0,9.94,465.0,1.69,6.16,17.3,1.0
SIEMENS,256004,7189.0,7974,3246.0,104.0,391.0,0.14,21.0,15.7,2.0
SONACOMS,40272,687.0,765,488.0,73.1,45.2,0.45,24.0,20.9,10.0
SPICELEC,904,196.0,268,49.1,,7.17,0.0,-5.04,-16.5,10.0
SRF,73549,2481.0,2697,2081.0,59.9,387.0,0.29,12.7,12.2,10.0
SUNPHARMA,418144,1743.0,1758,1068.0,39.7,265.0,0.77,17.3,16.7,1.0
TATACONSUM,117526,1188.0,1254,817.0,88.5,162.0,0.65,10.6,8.32,1.0
TATAELXSI,42346,6800.0,9200,6407.0,53.8,402.0,1.03,42.7,34.5,10.0
TATAINVEST,30495,6027.0,9757,2401.0,82.8,5923.0,0.46,1.67,1.55,10.0
TATAMOTORS,403224,1098.0,1179,593.0,11.9,255.0,0.27,20.1,49.4,2.0
TATAPOWER,132175,414.0,471,230.0,36.0,101.0,0.48,11.1,11.3,1.0
TATATECH,40528,999.0,1400,970.0,62.4,79.4,0.84,28.3,21.9,2.0
TCS,1597766,4416.0,4431,3311.0,33.6,250.0,1.25,64.3,51.5,1.0
TECHM,155031,1585.0,1589,1089.0,61.6,273.0,2.52,11.9,8.63,5.0
TIINDIA,77584,4011.0,4682,2752.0,90.7,264.0,0.09,26.3,26.5,1.0
TITAGARH,19231,1428.0,1897,636.0,65.5,165.0,0.06,25.0,18.1,2.0
TITAN,305820,3445.0,3887,3038.0,88.5,106.0,0.32,22.7,32.9,1.0
TORNTPHARM,113313,3348.0,3395,1771.0,67.7,203.0,0.84,23.2,24.2,5.0
TRENT,231152,6502.0,6550,1945.0,185.0,114.0,0.05,23.8,27.2,1.0
TVSMOTOR,123538,2600.0,2658,1321.0,72.1,143.0,0.31,14.7,26.6,1.0
UBL,52133,1972.0,2182,1492.0,117.0,158.0,0.51,13.5,10.1,1.0
UNITDSPR,102287,1406.0,1480,981.0,72.4,97.9,0.64,27.9,21.0,2.0
UNOMINDA,66399,1156.0,1207,549.0,74.8,86.1,0.17,19.9,18.9,2.0
VBL,184762,1422.0,1707,828.0,76.3,66.0,0.18,28.8,35.2,5.0
VINATIORGA,21468,2071.0,2331,1462.0,63.6,237.0,0.34,18.6,13.8,1.0
MANYAVAR,27239,1122.0,1488,886.0,70.8,66.0,0.76,30.7,26.7,1.0
VOLTAS,50796,1535.0,1599,800.0,112.0,176.0,0.36,8.51,4.4,1.0
WESTLIFE,12564,806.0,1025,701.0,288.0,37.7,0.43,11.0,12.0,2.0
WIPRO,270023,516.0,580,375.0,24.2,143.0,0.19,16.9,14.3,2.0
YASHO,2116,1856.0,2427,1514.0,52.0,259.0,0.03,12.8,21.8,10.0
ZENTEC,14311,1703.0,1785,650.0,93.2,53.4,0.01,46.3,33.1,1.0
